P60,P66,w1,w11,w13,w17,w19,w2,w21,w211,w22,w28,w290,w3,w30,w32,w33,w34,w36,w37,w38,w39,w41,w44,w45,w54,w7,α
,,,απολυϲω,απολυϲω,,,απολυϲω,,,,απολυϲω,,,,,,απολυϲω,απολυϲω,,απολυϲω,απολυϲω,,,απολυϲω,απολυϲω,απολυϲω,
,εν,εν,εν,εν,εν,εν,εν,εν,εν,εν,εν,εν,,εν,εν,εν,εν,εν,εν,εν,εν,εν,εν,εν,εν,εν,ἐν
,τω,τω,τω,τω,τω,τω,τω,τω,το,τω,τω,τω,τω,τω,τω,τω,τω,τω,τω,τω,τω,τω,τω,τω,τω,τω,τῷ
παϲχα,παϲ̣χα,παϲχα,παϲχα,παϲχα,παϲχα,παϲχα,παϲχα,παϲχα,παϲχα,παϲχα,παϲχα,πάϲχα,παϲχα,παϲχα,παϲχα,παϲχα,παϲχα,παϲχα,παϲχα,παϲχα,παϲχα,παϲχα,παϲχα,παϲχα,παϲχα,παϲχα,πάσχα
βουλεϲθ̣α̣ι̣,βουλεϲθε,βουλεϲθε,βουλεϲθε,βουλεϲθε,βουλεϲθε,βουλεϲθ,βουλεϲθαι,βουλεϲθε,βουλεϲθε,βουλεϲθαι,βουλεϲθε,βὸύλεϲθε,βουλεϲθε,βουλεϲθε,βουλεϲθαι,βουλεϲθε,βουλεϲθε,βουλεϲθε,βουλεϲθαι,βουλεϲθαι,βουλεϲθε,βουλεϲθε,βουλεϲθε,βουλεϲθαι,βουλεϲθε,βουΛεϲθαιουν,βούλεσθε
ουν,ουν,ουν,ουν,ουν,ουν,ου¯,ουν,ουν,ουν,ουν,ουν,,ουν,ου¯,ουν,ουν,ουν,ουν,ουν,ουν,ουν,ουν,ου¯,ουν,ουν,,οὖν
,,ϊνα,υμι¯,,ινα,,,,,,,,,ινα,ινα,,,,,,,ινα,,υ,ινα,,
,,,,,,,,,,,,,,,,,,,,,,,,μιν,,,
απολυϲω,απολυϲω,απολυϲω,απολυϲω,,απολυϲω,απολυϲω,απολυϲω,,απολυϲω,απολυϲω,,απολ̀ύϲω,απολυϲω,απολυϲω,απολυϲω,απολυϲω,,,,απολυϲω,,απολυϲω,απολυϲω,απολυϲω,απολυϲω,,ἀπολύσω
υμιν,ϋμϊν,ϋμιν,,υμιν,υμιν,υμιν,υμιν,υμιν,υμιν,υμιν,υμιν,ϋμὶν,ϋμιν,υμιν,υμιν,υμιν,υμιν,υμιν,υμιν,,υμιν,υμιν,υμιν,,ϋμιν,υμιν,ὑμῖν
,,,,απολυϲω,,,,απολυϲω,,,απολυϲω,,,,,,απολυϲω,απολυϲω,απολυϲω,,απολυϲω,,,,,απολυϲω,
τον,τον,το¯,τον,τον,τον,τον,τον,τον,τον,το¯,τον,τον,τον,τον,τον,το¯,τον,τον,τον,τον,τον,τον,τον,τον,τον,το¯,τὸν
βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλέα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βαϲιλεα,βασιλέα
των,των,των,των,των,των,τω¯,των,των,των,των,των,των,των,των,των,των,των,των,των,τον,των,των,των,των,των,των,τῶν
ιουδαι̣ω̣ν̣,ιουδαιων,ϊουδαιων,ιουδαιων,ιουδαιω¯,ιουδαιων,ιουδαιων,ιουδαιων,ιουδαιων,ιουδαιων,ιουδαιων,ιουδαιων,ϊουδαίων,ϊουδαιων,ιουδαιων,ιουδαιων,ιουδαιων,ιουδαιων,ιουδαιων,ιουδαιων,ιουδαιων,ιουδαιων,ιουδαιων,ιουδαιων,ιουδαιων,ϊουδαιων,ιουδαιων,Ἰουδαίων
ε̣κραυγαϲαν,ε̣κ̣ραυγαϲαν,εκραυγαϲα¯,εκραυγαϲαν,εκραυγαϲαν,εκραυγαϲαν,εκραυαϲαν,εκραυγαϲαν,εκραυαϲαν,εκραυγαϲαν,εκραυγαϲαν,εκραυγαϲαν,εκρὰύγαϲαν,εκραυγαϲα¯,εκραυγαϲαν,εκραυγαϲαν,εκραυγαϲαν,εκραυγαϲαν,εκραυγαϲαν,εκραυπαμανου,εκραυγαϲαν,εκραυγαϲαν,εκραυγαϲαν,εκραυγαϲαν,εΚραυγαϲαν,εκραυγαϲαν,εκραυγαϲαν,ἐκραύγασαν
ουν,ουν,ουν,Ουν,ουν,ουν,ουν,ου¯,ουν,ουν,ου¯,,ὃῦν,ουν,ουν,ουν,ουν,ουν,ουν,,ουν,Ουν,ουν,ουν,ουν,Ουν,ουν,οὖν
παλ̣ιν̣,,παλιν,,παλιν,,παλιν,Παλιν,παλιν,παλιν,,παλιν,πάλιν,παλιν,,παλιν,παλιν,Παλιν,παλι¯,,παλιν,παλιν,,,παλιν,παλιν,παλιν,πάλιν
,παντ̣ε̣ϲ̣,,παντεϲ,παντεϲ,παντεϲ,,παντεϲ,παντεϲ,παντεϲ,παντεϲ,παντεϲ,,,παντεϲ,,,παντεϲ,παντεϲ,παντεϲ,παντεϲ,παντεϲ,παντεϲ,παντεϲ,,παντεϲ,παντεϲ,
λεγοντεϲ,,λεγοντεϲ,λεγο¯τεϲ,λεγοντεϲ,λεγονΤεϲ,λεγοντεϲ,λεγοντεϲ,λεγοντεϲ,λεγοντεϲ,λεγο¯τεϲ,λεγοντεϲ,λεγο¯τεϲ,λεγοντεϲ,λεγοντεϲ,λεγοντεϲ,λεγοντεϲ,λεγοντεϲ,λεγοντεϲ,λεγοντεϲ,λεγοντεϲ,λεγοντεϲ,λεγοντεϲ,λεγοντεϲ,λεγοντεϲ,λεγοντεϲ,λεγοντεϲ,λέγοντες
μη,μη,μη,μη,μη,μη,μη,μη,μη,μη,μη,μη,πα̣ντεϲ,μη,μη,μη,μη,μη,μη,μη,μη,μη,μη,μη,μη,μη,μη,μὴ
τουτον̣,τουτον,τουτον,τουτον,τουτον,τουτον,τουτον,τουτον,τουτον,τουτον,τουτο¯,τουτον,,τουτον,τουτον,τουτον,τουτον,τουτον,τουτον,τουτον,τουτον,τουτον,τουτον,τουτον,τουτον,τουτο¯,τουτον,τοῦτον
αλ,αλλα̣,αλλα,αλλα,αλλα,αλλα,αλλα,αλλα,αλλα,αλλα,αλλα,αλλα,,αλλα,αλλα,αλλα,αλλα,αλλα,αλλα,αλλα,αλλα,αλλα,αλλα,αλλα,αλλα,αλλα,αλλα,ἀλλὰ
,τον,τον,τον,τον,τον,τον,τον,τον,,τον,τον,,τον,τον,τον,τον,τον,τον,τον,τον,τον,τον,τον,τον,τον,τον,τὸν
,βαραββαν,βαραββα¯,βαραββα¯,βαραββαν,βαραββαν,βαραββαν,βαραββαν,βαραββαν,βαραββαν,βαραββαν,βαραββαν,,βαραββαν,βαραββαν,βαραββαν,βαραββαν,βαραββαν,βαραββαν,βαραββαν,βαρραββαν,βαραββα¯,βαραββα¯,βαραββαν,βαραββαν,βαραββαν,βαραββαν,Βαραββᾶν
,ην,ην,ην,ην,ην,ην,ην,ην,ην,ην,ην,,ην,ην,ην,ην,ην,ην,ην,ην,ην,ην,ην,ην,ην,ην,ἦν
,δε,δε,δε,δε,δε,δε,δε,δε,δε,δε,δε,,δε,δε,δε,δε,δε,δε,δε,δε,δε,δε,δε,δε,δε,δε,δὲ
,β̣αραββαϲ,ο,ο,ο,ο,ο,ο,ο,ο,ο,ο,,ο,ο,ο,ο,ο,ο,ο,ο,ο,ο,ο,ο,ο,ο,ὁ
,ληϲτ̣η̣ϲ̣ʼ,βαραββαϲ,βαραββαϲ,βαραββαϲ,βαραββαϲ,βαραββαϲ,βαραββαϲ,βαραββαϲ,βαραββαϲ,βαραββαϲ,βαραββαϲ,,βαραββαϲ,βαραββαϲ,βαραββαϲ,βαραββαϲ,βαραβαϲ,βαραββαϲ,βαραββαϲ,βαρραβαϲ,βαραββαϲ,βαραββαϲ,βαραββαϲ,βαραββαϲ,βαραββαϲ,βαραββαϲ,Βαραββᾶς
,,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,ληϲτηϲ,λῃστής
